ReportDate,DataYM,CompanyCode,CompanyName,Industry,NowRevenue,LastMonthRevenue,LastYearSameMonthRevenue,MonthlyPercent,YearlyPercent,CumulativeNowRevenue,CumulativeLastYearRevenue,CumulativeChangePercent,Comment
1150117,11412,4106,雃博,生技醫療業,218030,197539,214024,10.37314151,1.871752701,2404332,2386654,0.740702255,-
1150117,11412,4108,懷特,生技醫療業,8597,11649,13984,-26.19967379,-38.52259725,134577,153563,-12.36365531,本期海外出貨較去年同期減少，國內外業務拓展中。
1150117,11412,4119,旭富,生技醫療業,151638,103366,77950,46.70007546,94.53239256,1343720,1523738,-11.81423578,客戶下單及出貨時點差異所造成，若將11月營收加入比較，兩期僅差異 +9.23%
1150117,11412,4133,亞諾法,生技醫療業,27485,29643,28329,-7.279964916,-2.979279184,351299,355257,-1.114123015,-
1150117,11412,4137,麗豐-KY,生技醫療業,387864,358504,349745,8.189587843,10.89908362,3878155,4066587,-4.633664545,-
1150117,11412,4142,國光生,生技醫療業,140435,130843,44563,7.33092332,215.1381191,1521343,1556989,-2.289418872,月營收較去年同期增加主因為外銷勞務收入增加所致。
1150117,11412,4148,全宇生技-KY,生技醫療業,272164,233611,241882,16.50307563,12.51932761,2952991,2477224,19.20565116,-
1150117,11412,4155,訊映,生技醫療業,97142,112831,163404,-13.90486657,-40.5510269,1557916,1676893,-7.095085971,-
1150117,11412,4164,承業醫,生技醫療業,477605,394089,486021,21.19216725,-1.73161242,4398280,3599807,22.1809947,-
1150117,11412,4190,佐登-KY,生技醫療業,212415,198815,191299,6.840530141,11.03821766,2265978,2280569,-0.639796472,-
1150117,11412,4306,炎洲,塑膠工業,1260135,1324475,1125722,-4.857773835,11.94015929,13277365,15916637,-16.58184452,-
1150117,11412,4414,如興,紡織纖維,1325867,1293784,1690627,2.479780242,-21.57542734,14028156,14896513,-5.829263533,-
1150117,11412,4426,利勤,紡織纖維,76215,74514,70396,2.282792495,8.266094664,880988,969919,-9.168909981,-
1150117,11412,4438,廣越,紡織纖維,1253373,1358617,1142792,-7.746406824,9.676389054,19427838,16485475,17.84821487,-
1150117,11412,4439,冠星-KY,紡織纖維,454088,440678,414793,3.043038227,9.473399985,7002730,5417623,29.25834817,-
1150117,11412,4440,宜新實業,紡織纖維,110406,96981,97242,13.84291768,13.5373604,1069237,1123724,-4.848788493,-
1150117,11412,4441,振大環球,紡織纖維,683432,470790,534948,45.16705962,27.75671654,7480059,5831162,28.27733134,-
1150117,11412,4526,東台,電機機械,563707,257819,657233,118.6444754,-14.23026537,5359662,5739349,-6.615506393,-
1150117,11412,4532,瑞智,電機機械,1682788,1473552,1863062,14.19943103,-9.676221189,20373938,21539471,-5.411149605,-
1150117,11412,4536,拓凱,運動休閒,683011,603720,920125,13.13373749,-25.76975954,9202655,9478115,-2.906274085,-
1150117,11412,4540,全球傳動,電機機械,271685,240452,288796,12.98928684,-5.924943559,2559330,2294281,11.55259534,-
1150117,11412,4545,銘鈺,電子零組件業,217286,189592,221081,14.60715642,-1.716565422,2387660,2396125,-0.353278731,-
1150117,11412,4551,智伸科,汽車工業,735235,702272,617020,4.693765379,19.1590224,7822899,7691073,1.714013116,-
1150117,11412,4552,力達-KY,電機機械,277458,276608,313144,0.307294077,-11.39603505,3466489,3624159,-4.350526564,-
1150117,11412,4555,氣立,電機機械,147040,120901,139737,21.62016857,5.226246449,1596179,1488048,7.266633872,-
1150117,11412,4557,永新-KY,汽車工業,338570,315627,405552,7.269023246,-16.51625439,3992639,3941067,1.308579631,-
1150117,11412,4560,強信-KY,電機機械,156396,153770,156719,1.707745334,-0.206101366,1719303,1607273,6.970191125,-
1150117,11412,4562,穎漢,電機機械,54747,34160,84610,60.26639344,-35.2948824,717419,777164,-7.687566588,-
1150117,11412,4564,元翎,電機機械,107284,90013,141544,19.18722851,-24.20448765,1102016,1144554,-3.716556842,-
1150117,11412,4566,時碩工業,電機機械,399679,399311,373711,0.092158743,6.948684946,4976319,4797371,3.730126355,-
1150117,11412,4569,六方科-KY,汽車工業,136380,139322,109308,-2.111655015,24.76671424,1817578,1451874,25.18841167,-
1150117,11412,4571,鈞興-KY,電機機械,251857,240986,282238,4.511050434,-10.76431948,3064957,3061903,0.099741893,-
1150117,11412,4572,駐龍,電機機械,52571,54848,57625,-4.151473162,-8.770498915,670865,871452,-23.0175615,-
1150117,11412,4576,大銀微系統,電機機械,279398,232759,236044,20.03746364,18.36691464,2714379,2253707,20.44063403,-
1150117,11412,4581,光隆精密-KY,汽車工業,91480,81593,76898,12.11746106,18.96278187,1086038,1082879,0.291722344,-
